127.0.0.1 - - [13/May/2023:09:19:21 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:24 +0700] "GET /new-jdbc15-03/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:26 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=D232D84705E6B4D7F117961521D21134 HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:26 +0700] "GET /new-jdbc15-03/views/home/css/css-home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:26 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:32 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:32 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:33 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:47 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:47 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:19:50 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:22 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:22 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:24 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:25 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 11457
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:34 +0700] "GET /new-jdbc15-03/admin-home?action=users HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:34 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:35 +0700] "GET /new-jdbc15-03/admin-home?action=orders HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:35 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:35 +0700] "GET /new-jdbc15-03/admin-home?action=users HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:35 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:36 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 11457
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:38 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:40 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 11457
0:0:0:0:0:0:0:1 - - [13/May/2023:09:20:49 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 6270
0:0:0:0:0:0:0:1 - - [13/May/2023:09:21:19 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:21:19 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:21:21 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 11457
0:0:0:0:0:0:0:1 - - [13/May/2023:09:23:48 +0700] "POST /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 12111
0:0:0:0:0:0:0:1 - - [13/May/2023:09:23:51 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [13/May/2023:09:23:51 +0700] "GET /new-jdbc15-03/views/thumbnails/bianluanhoi.jpg HTTP/1.1" 200 231666
0:0:0:0:0:0:0:1 - - [13/May/2023:09:23:56 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:23:56 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:23:57 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 12111
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:01 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:07 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:07 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:08 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 12111
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:13 +0700] "GET /new-jdbc15-03/admin-home?action=deleteProduct&idProduct=12 HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:19 +0700] "POST /new-jdbc15-03/admin-home?action=deleteProduct&idProduct=12 HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:21 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:25 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:25 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:27 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:30 +0700] "GET /new-jdbc15-03/admin-home?action=deleteProduct&idProduct=25 HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:33 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:40 +0700] "GET /new-jdbc15-03/admin-home?action=deleteProduct&idProduct=25 HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:41 +0700] "POST /new-jdbc15-03/admin-home?action=deleteProduct&idProduct=25 HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:24:42 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [13/May/2023:09:30:29 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:30:29 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:30:31 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:31:18 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [13/May/2023:09:31:58 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:31:58 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:32:00 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:32:02 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:32:05 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [13/May/2023:09:32:07 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:32:07 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:32:09 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:37:16 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [13/May/2023:09:37:44 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:37:44 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:37:46 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:37:55 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:37:58 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:38:00 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [13/May/2023:09:40:30 +0700] "GET /new-jdbc15-03/admin-home HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:40:30 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:40:31 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:40:35 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:29 +0700] "GET /new-jdbc15-03/admin-home?action=deleteProduct&idProduct=11 HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:32 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:35 +0700] "GET /new-jdbc15-03/admin-home?action=editProduct&idProduct=11 HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:35 +0700] "GET /new-web-ban-sach/views/admin/css-admin/css-admin.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:36 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:38 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:41:45 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:44:38 +0700] "GET /new-jdbc15-03/admin-home?action=categories HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [13/May/2023:09:44:40 +0700] "GET /new-jdbc15-03/admin-home?action=products HTTP/1.1" 200 10788
0:0:0:0:0:0:0:1 - - [13/May/2023:09:44:42 +0700] "GET /new-jdbc15-03/trang-chu HTTP/1.1" 200 5913
