127.0.0.1 - - [14/May/2023:05:44:30 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/May/2023:05:44:35 +0700] "GET /new-jdbc15-03/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2023:05:44:38 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=F4DC4B7636A1AC5E97E8FC9675152C38 HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [14/May/2023:05:44:38 +0700] "GET /new-jdbc15-03/views/home/css/css-home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:05:44:38 +0700] "GET /new-jdbc15-03/views/thumbnails/hanhtinh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:05:44:38 +0700] "GET /new-jdbc15-03/views/thumbnails/demenphieuluuki.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:05:44:38 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [14/May/2023:05:46:05 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=F4DC4B7636A1AC5E97E8FC9675152C38 HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [14/May/2023:05:46:56 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=F4DC4B7636A1AC5E97E8FC9675152C38 HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [14/May/2023:05:46:56 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=F4DC4B7636A1AC5E97E8FC9675152C38 HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [14/May/2023:05:46:57 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=F4DC4B7636A1AC5E97E8FC9675152C38 HTTP/1.1" 200 5913
0:0:0:0:0:0:0:1 - - [14/May/2023:05:46:57 +0700] "GET /new-jdbc15-03/trang-chu;jsessionid=F4DC4B7636A1AC5E97E8FC9675152C38 HTTP/1.1" 200 5913
